crop,disease,image_count
Hornbeam,Diaporthe Revellens Sacc,4
Pistachio,Alternaria Black Molds Stem Cankers,10
Banana,Phoma Blight,1
Banana,Phyllosticta Leaf Spot,2
Banana,Panama Disease,1465
Banana,Pseudocercospora Leaf Spot,3696
Banana,Anthracnose,75
Banana,Phaeoseptoria Leaf Spot,2
Banana,Banana Bunchy Top Virus,166
Banana,Rust,3967
Banana,Cordana Leaf Spot,797
Banana,Pestalotiopsis Leaf Spot,1
Banana,Cigar End Rot,60
Cabbage,Leptosphaerulina Leaf Blight,1
Cabbage,Alternaria Black Molds Stem Cankers,82
Cabbage,Downy Mildew,94
Cabbage,Turnip Mosaic Virus,2
Cabbage,Club Root Of Crucifers,2
Cabbage,Black Rot,135
Oak,Fuscoporia Fungus,1
Oak,Dog S Nose Fungus,7
Oak,Bacterial Wetwood,3
Oak,Phytophthora Root And Crown Rots,23
Oak,Bacterial Leaf Scorch,29
Oak,Botryosphaeria Rots And Cankers,33
Oak,Monochaetia Fungi,10
Oak,Lion S Mane Hericium,1
Oak,Polypore,19
Oak,Sulfur Shelf,7
Oak,Ganoderma Root And Butt Rot,22
Oak,Leaf Blister,55
Oak,Oak Wilt,58
Oak,Armillaria Root Rot,12
Oak,Hypoxylon Canker,16
Oak,Powdery Mildew,4
Oak,Canker Rot,11
Oak,Anthracnose,17
Oak,Coryneum Twig Blight,15
Oak,Drippy Blight,47
Oak,Bur Oak Blight,1
Oak,Cryptocline Fungus,10
Oak,Mock Oyster,3
Oak,Bondarzewia Berkeleyi,2
Oak,Jack-O-Lantern Mushroom,5
Oak,Nectria Canker,17
Oak,Turkey Tail,2
Oak,Black Spot,1
Oak,Orange Hobnail Canker,1
Oak,Marssonina Leaf Spot,15
Oak,Smooth Patch Of Oak,6
Oak,Leaf Spot,33
Oak,Cytospora Cankers,11
Oak,Dryad S Saddle,2
Oak,Weeping Conk,5
Oak,Hairy Stereum,2
Oak,Basal Cankers,1
Oak,Tar Spot,8
Ginkgo,Bacterial Leaf Scorch,3
Pansy,Pythium Diseases,7
Pansy,Berkeleyomyces Basicola,7
Eucalyptus,Leaf Spot,5
Lentil,Pythium Diseases,6
Lentil,Leaf Spot,6
Lentil,Ascochyta Blight,10
Piedmont Azalea,Leaf And Flower Gall,32
Vetch,Rust,2
Dahlia,Dahlia Mosaic Virus,2
Dahlia,Maryland Aster Yellows,3
Kentucky Yellowwood,Anthracnose,1
Ivy,Anthracnose,3
Morning-Glory,White Rust,9
Beardtongue,Impatiens Necrotic Spot Virus,1
Virginia Bluebells,Tobacco Rattle Virus,1
American Bittersweet,Marssonina Leaf Spot,1
Ophiopogon,Anthracnose,3
Grape,Grape Anthracnose,12
Grape,Bacterial Leaf Scorch,4
Grape,Leaf Blight,22200
Grape,Leafroll Disease,71
Grape,Powdery Mildew,593
Grape,Black Measles,18795
Grape,Black Rot,35616
Grape,Crown Gall,3
Grape,Downy Mildew,314
Grape,Gray Mold,33
Alpinia,Paraleptosphaeria Macrospora,6
Sunflower,Septoria Leaf Blotch,10
Sunflower,Rust,16
Sunflower,Sclerotinia Timber Rot,20
Sunflower,Downy Mildew,13
Chickpea,Ascochyta Blight,29
Mayapple,Mayapple Rust,6
Daphne,Tubercularia Cankers,10
Tobacco,Leaf Mosaic Virus,77
Tobacco,Wildfire Of Tobacco,4
Tobacco,Pythium Diseases,41
Tobacco,Phytophthora Blight,84
Tobacco,Frogeye Leaf Spot,28
Tobacco,Sclerotinia Timber Rot,5
Tobacco,Blue Mold,76
Tobacco,Bacterial Soft Rot,8
Tobacco,Brown Spot,66
Raspberry,Leaf Spot,19
Raspberry,Gray Mold,40
Raspberry,Rust,66
Raspberry,Gnomonia Cane Canker,10
Raspberry,Phytophthora Root And Crown Rots,3
Raspberry,Fire Blight,34
Common Hackberry,Bacterial Leaf Scorch,3
Double Impatiens,Downy Mildew,31
Double Impatiens,Alternaria Black Molds Stem Cankers,2
Barley,Cochliobolus Leaf Spot,15
Barley,Barley Scald,3
Barley,Septoria Leaf Spot And Cankers,2
Barley,Rhizoctonia Damping-Off,5
Barley,Ascochyta Leaf Spot,2
Pawpaw,Phyllosticta Leaf Spot,4
Elm,Phomopsis Cankers And Twig Blights,6
Elm,Bacterial Wetwood,17
Elm,Armillaria Root Rot,5
Elm,Dutch Elm Disease,40
Elm,Black Spot,13
Sweetgum,Bacterial Leaf Scorch,1
Sweetgum,Northern Tooth,1
Sweetgum,Cylindrocladium Root Diseases,1
Cedar,Needle Blight Of Cedar,47
Cedar,Phytophthora Root Disease Of Port Orford Cedar,2
Cedar,Cryptosporiopsis Canker,11
Cedar,Incense Cedar Broom Rust,2
Cedar,American Hawthorn Rust,40
Cedar,Seiridium Cankers,15
Cedar,Diaporthe Juniperivora Sacc,5
Cedar,Annosum Root Disease,1
Zucchini,Powdery Mildew,223
Zucchini,Downy Mildew,45
Zucchini,Yellow Mosaic Virus,95
Zucchini,Choanephora Fruit Rot,2
Zucchini,Bacterial Wilt,81
Zucchini,Gummy Stem Blight,9
Poinsettia,Cercospora Leaf Spot,3
Poinsettia,Gray Mold,4
Poinsettia,Berkeleyomyces Basicola,3
Poinsettia,Pythium Diseases,9
Poinsettia,Bacterial Leaf Spot,3
Blackberry,Crown Gall,4
Blackberry,Bramble Leaf Rust,9
Iris,Anthracnose,1
Iris,Impatiens Necrotic Spot Virus,4
Iris,Heterosporium Leaf Spot On Iris,27
Spindletree,Crown Gall,3
Spindletree,Phomopsis Cankers And Twig Blights,3
Spindletree,Powdery Mildew,14
Broccoli,Alternaria Leaf Spot,81
Broccoli,Downy Mildew,29
Lily,Botrytis Blight,3
Lily,Lily Symptomless Virus,2
Lily,Tobacco Rattle Virus,2
Lily,Cucumber Mosaic Virus,2
Lily,Pythium Diseases,5
Lily,Lily Mottle Potyvirus,4
Ash,Ash Rusts,14
Ash,Verticillium Wilt,2
Ash,Ash Leaf Spot,2
Ash,Anthracnose,6
Ash,Armillaria Root Rot,7
Ash,Ash Heart Rot,7
Ash,Cytospora Cankers,2
Holly,Ascochyta Fungi,3
Artichoke,Gray Mold,4
Hawthorn,American Hawthorn Rust,35
Hawthorn,Phomopsis Cankers And Twig Blights,3
Hawthorn,Entomosporium Fungus,14
Hawthorn,Fire Blight,2
Jacob S-Ladder,Impatiens Necrotic Spot Virus,3
Brazilian Gloxinia,Tomato Spotted Wilt Virus,14
Armeria,Fusarium Wilts,1
Periwinkle,Phoma Blight,4
Currant,White Pine Blister Rust,4
Horseradish,Tobacco Rattle Virus,1
Lisianthius Gentians,Fusarium Wilts,2
Palms,Mycosphaerella Fungi,2
Rice,Nakataea Oryzae,5
Rice,Pythium Diseases,22
Rice,Blast,7411
Rice,Tungro,4412
Rice,Kernel Smut,3
Rice,White Leaf Streak Of Rice,8
Rice,Leaf Smut,40
Rice,Bacterial Panicle Blight,351
Rice,Aggregate Sheath Spot,8
Rice,Bacterial Leaf Blight,4696
Rice,Brown Spot,5495
Rice,Narrow Brown Leaf Spot,10
